Supplier;Code;Description;Quantity;Value;;;;;;;;;;;;;;;;;;;;;;
I33;L2905;I33 CANDLE IN CORRUGATED BOX;3;28;;;;;;;;;;;;;;;;;;;;;;
I28;V1031.2;I28 NOTEBOOK FLORAL CHA-B 13x18;1;2;;;;;;;;;;;;;;;;;;;;;;
I28;V1031.1;I28 NOTEBOOK DOTS CHA-B 9x14;1;1;;;;;;;;;;;;;;;;;;;;;;
I248;G1324Y8825;I248 SUN UMBRELLA WITH MARBLE BASE 250x250 cm;9;3819;;;;;;;;;;;;;;;;;;;;;;
I208;L3226G;I208 IP65 OUTDOOR WALL LAMP TRLAC DIMMABLE 6W 3000K 200LM 170x170x200mm;7;447;;;;;;;;;;;;;;;;;;;;;;
I208;L3227.1G;I208 IP65 OUTDOOR GARDEN LAMP TRLAC DIMMABLE 6W 3000K 200LM 150x150x275mm;2;231;;;;;;;;;;;;;;;;;;;;;;
I205;T2469;I205 TABLE BASE METAL;1;86;;;;;;;;;;;;;;;;;;;;;;
I204;B4069;I204 HOOK BLACK;20;242;;;;;;;;;;;;;;;;;;;;;;
I204;B4071;I204 TOILET HOLDER BLACK;8;135;;;;;;;;;;;;;;;;;;;;;;
I186;A7652.3;I186 CUTTING BOARD SQUARE 40x30x1.4cm;2;32;;;;;;;;;;;;;;;;;;;;;;
I172;TV001;"I172 TV WALL MOUNT FIXED 32-70""45KG";2;7;;;;;;;;;;;;;;;;;;;;;;
I17;D1463;I17 CONSOLE IRON WOOD 138x36x76;1;242;;;;;;;;;;;;;;;;;;;;;;
I17;A7231N;I17 PAPER MACHE BOWLS 42x42x23;2;63;;;;;;;;;;;;;;;;;;;;;;
I17;A6841;I17 POT PAPER MACHI SMALL MIRRORS;1;41;;;;;;;;;;;;;;;;;;;;;;
I17;A7387.2;I17 POT IRON 17x25x30;1;38;;;;;;;;;;;;;;;;;;;;;;
I17;A7364.2;I17 TRAY IRON  23x23x3;2;34;;;;;;;;;;;;;;;;;;;;;;
I17;A7231BR;I17 PAPER MACHE BOWLS 42x42x23;1;31;;;;;;;;;;;;;;;;;;;;;;
I17;A7387.1;I17 POT IRON 20x12x28;1;30;;;;;;;;;;;;;;;;;;;;;;
I17;A7355;I17 IRON WATER POTS 25x40x25;1;23;;;;;;;;;;;;;;;;;;;;;;
I163;A7613;I163 OIL & VINEGAR PITCHER with BAMBOO LID 17x17x23cm;4;93;;;;;;;;;;;;;;;;;;;;;;
I163;A7602;I163 PITCHER GLASS with BAMBOO LID 1.4L 8x9x25cm;4;48;;;;;;;;;;;;;;;;;;;;;;
I163;A7604;I163 JAR GLASS with BAMBOO LID & SPOON 28.5x9.5x8.5cm;2;39;;;;;;;;;;;;;;;;;;;;;;
I163;A7606.2;I163 WATER GLASS 500ml 6x8x15cm;10;29;;;;;;;;;;;;;;;;;;;;;;
I163;A7609.2;I163 CONTAINER JAR with ACACIA LID 580ml 8x8x16cm;2;17;;;;;;;;;;;;;;;;;;;;;;
I147;KT001B;I147 KETTLE 0.8L;4;90;;;;;;;;;;;;;;;;;;;;;;
I138;A7661;I138 SAFE 42x37x20;1;61;;;;;;;;;;;;;;;;;;;;;;
I130;L3089.2;I130 LIGHT PENDANT GLASS COGNAC & BLACK F20 H25;6;250;;;;;;;;;;;;;;;;;;;;;;
I130;L3089.1;I130 LIGHT PENDANT GLASS COGNAC & BLACK F13 H35;4;156;;;;;;;;;;;;;;;;;;;;;;
I130;L3091B;I130 LIGHT FLOOR STEEL BLACK 43x85x159;1;143;;;;;;;;;;;;;;;;;;;;;;
I125;K1061.1;I125 MATRESS 160x200x25;6;1118;;;;;;;;;;;;;;;;;;;;;;
I125;K1061.2;I125 MATRESS 180x200x25;4;669;;;;;;;;;;;;;;;;;;;;;;
I125;K1061.3;I125 MATRESS 90x200x25;2;256;;;;;;;;;;;;;;;;;;;;;;
I12;A6443.2;I12 PALM TREE H140;3;153;;;;;;;;;;;;;;;;;;;;;;
I11;A2675;I11 SET OF 5 CUTLERY;8;23;;;;;;;;;;;;;;;;;;;;;;
I11;A2675.1F;I11 CUTLERY FORK SMALL;12;15;;;;;;;;;;;;;;;;;;;;;;
I11;A2675.1S;I11 CUTLERY SPOON SMALL;12;15;;;;;;;;;;;;;;;;;;;;;;
I11;A2675.2F;I11 CUTLERY FORK BIG;12;15;;;;;;;;;;;;;;;;;;;;;;
I11;A2675.2S;I11 CUTLERY SPOON BIG;12;15;;;;;;;;;;;;;;;;;;;;;;
I11;A2675K;I11 CUTLERY KNIFE;12;15;;;;;;;;;;;;;;;;;;;;;;
I107;A7642DNB;I107 WOODEN FAN ceiling DARK NATURAL blades BLACK motor;3;729;;;;;;;;;;;;;;;;;;;;;;
I107;A7642NB;I107 WOODEN FAN ceiling NATURAL blades BLACK motor;1;243;;;;;;;;;;;;;;;;;;;;;;
I100;L3105;I100 LAMP CEILING BRASS ANTIQUE SAGE F45 H16;2;111;;;;;;;;;;;;;;;;;;;;;;
I100;L3101;I100 LAMP WALL BRASS ANTIQUE JAMIE 5x26,5x44;3;99;;;;;;;;;;;;;;;;;;;;;;
I100;L3096;I100 LAMP CEILING NATURAL/WOOD MINION  F12 H26;2;47;;;;;;;;;;;;;;;;;;;;;;
D75;SW0002;D75 SOFA;2;4485;;;;;;;;;;;;;;;;;;;;;;
D75;KW0000.1;D75 BED BASE BOX 150-180X200X30;2;1208;;;;;;;;;;;;;;;;;;;;;;
D75;KW0002;D75 HEADBOARD 160-180X110;2;860;;;;;;;;;;;;;;;;;;;;;;
D75;CW0001;D75 CHAIR;1;228;;;;;;;;;;;;;;;;;;;;;;
D34;K1056.2;D34 BASE BOX 160x20x30;2;1605;;;;;;;;;;;;;;;;;;;;;;
D34;K1053T;D34 BED HRA 160X210X110;1;668;;;;;;;;;;;;;;;;;;;;;;
D34;S1042.3T;D34 SOFA - BED ERATO 220x90x70;1;477;;;;;;;;;;;;;;;;;;;;;;
D221;FW0019;D221 SEA TOWEL;4;37;;;;;;;;;;;;;;;;;;;;;;
D193;FW0016.3;D193 CUSHIONS FOR SOFA;1;3645;;;;;;;;;;;;;;;;;;;;;;
D190;A8067;D190 KITCHEN SUPPLIES - ΚΑΤΣΑΡΟΛΑ;2;178;;;;;;;;;;;;;;;;;;;;;;
D190;A8064;D190 KITCHEN SUPPLIES - ΤΗΓΑΝΙ;4;157;;;;;;;;;;;;;;;;;;;;;;
D190;A8068;D190 KITCHEN SUPPLIES - ΚΑΤΣΑΡΟΛΑ;2;113;;;;;;;;;;;;;;;;;;;;;;
D190;A8074;D190 KITCHEN SUPPLIES - ΜΥΛΟ ΠΙΠΕΡΙ;2;78;;;;;;;;;;;;;;;;;;;;;;
D190;A8075;D190 KITCHEN SUPPLIES - ΜΥΛΟ ΑΛΑΤΙ;2;69;;;;;;;;;;;;;;;;;;;;;;
D190;A8063;D190 KITCHEN SUPPLIES - ΤΗΓΑΝΙ;2;55;;;;;;;;;;;;;;;;;;;;;;
D190;A8078;D190 KITCHEN SUPPLIES - ΜΑΧΑΙΡΙ ΨΩΜΙΟΥ;2;52;;;;;;;;;;;;;;;;;;;;;;
D190;A8057;D190 KITCHEN SUPPLIES - ΠΟΤΗΡΙΑ ΝΕΡΟΥ;33;48;;;;;;;;;;;;;;;;;;;;;;
D190;A8076;D190 KITCHEN SUPPLIES - ΨΩΜΙΕΡΑ;2;39;;;;;;;;;;;;;;;;;;;;;;
D190;A8071;D190 KITCHEN SUPPLIES - ΣΟΥΡΩΤΗΡΙ;2;29;;;;;;;;;;;;;;;;;;;;;;
D190;A8061;D190 KITCHEN SUPPLIES - ΜΑΧΑΙΡΙΑ;2;21;;;;;;;;;;;;;;;;;;;;;;
D190;A8091;D190 KITCHEN SUPPLIES - ΛΕΜΟΝΟΣΤΙΦΤΗΣ;2;20;;;;;;;;;;;;;;;;;;;;;;
D190;A8089;D190 KITCHEN SUPPLIES - PEELER;2;17;;;;;;;;;;;;;;;;;;;;;;
D190;A8088;D190 KITCHEN SUPPLIES - ΣΥΡΜΑ;2;17;;;;;;;;;;;;;;;;;;;;;;
D190;A8106;D190 KITCHEN SUPPLIES - ΤΡΙΦΤΗΣ 23CM;2;15;;;;;;;;;;;;;;;;;;;;;;
D190;A8095;D190 KITCHEN SUPPLIES - ΜΠΩΛ ΑΝΑΜΕΙΞΗΣ;2;12;;;;;;;;;;;;;;;;;;;;;;
D190;A8084;D190 KITCHEN SUPPLIES - ΛΑΒΙΔΑ( ΜΑΥΡΗ, );2;11;;;;;;;;;;;;;;;;;;;;;;
D190;A8083;D190 KITCHEN SUPPLIES - ΣΠΑΤΟΥΛΑ;2;10;;;;;;;;;;;;;;;;;;;;;;
D190;A8082;D190 KITCHEN SUPPLIES - ΞΥΛΙΝΕΣ ΚΟΥΤΑΛΕΣ;2;9;;;;;;;;;;;;;;;;;;;;;;
D148;F4897.2;D148 SPRING BLANKET 230Χ240;11;387;;;;;;;;;;;;;;;;;;;;;;
D148;F7974.5;D148 SHEET AFRODITE  260X270;8;338;;;;;;;;;;;;;;;;;;;;;;
D148;F7967.3;D148 TOWEL BODY FIVOS 70X140;33;322;;;;;;;;;;;;;;;;;;;;;;
D148;F7972.2;D148 DUVET COVER ORFEAS 220X240;9;232;;;;;;;;;;;;;;;;;;;;;;
D148;F7970;D148 PILLOW ZEFIROS 50X70;17;217;;;;;;;;;;;;;;;;;;;;;;
D148;F7963.1;D148 SHEET ORFEAS 160X270;16;217;;;;;;;;;;;;;;;;;;;;;;
D148;F7975.3;D148 PILLOW CASE AFRODITE 50X70;22;191;;;;;;;;;;;;;;;;;;;;;;
D148;F7967.2;D148 TOWEL BODY FIVOS 50X90;36;186;;;;;;;;;;;;;;;;;;;;;;
D148;F7963.3;D148 SHEET ORFEAS 240X270;8;155;;;;;;;;;;;;;;;;;;;;;;
D148;F7976.2;D148 DUVET ZEFIROS 200 220X240;5;131;;;;;;;;;;;;;;;;;;;;;;
D148;F7963.4;D148 SHEET ORFEAS 260X270;6;128;;;;;;;;;;;;;;;;;;;;;;
D148;F7972.1;D148 DUVET COVER ORFEAS 160X240;4;93;;;;;;;;;;;;;;;;;;;;;;
D148;F7963.2;D148 SHEET ORFEAS 220X270;8;61;;;;;;;;;;;;;;;;;;;;;;
D148;F7964;D148 PILLOW CASE ORFEAS 50X70+18;12;58;;;;;;;;;;;;;;;;;;;;;;
D148;F4897.1;D148 SPRING BLANKET 170Χ240;2;54;;;;;;;;;;;;;;;;;;;;;;
D148;F7976.1;D148 DUVET ZEFIROS 200 160X240;2;50;;;;;;;;;;;;;;;;;;;;;;
D148;F7977.2;D148 KOYBERLI 180X240;1;35;;;;;;;;;;;;;;;;;;;;;;
B99;C1337.1;B99 BENCH AFALES TEAK 170x40x45;1;281;;;;;;;;;;;;;;;;;;;;;;
B84;L2688.2;B84 OIL LAMP ANTIQUE H35;4;93;;;;;;;;;;;;;;;;;;;;;;
B84;L2688.1;B84 OIL LAMP ANTIQUE H28;4;74;;;;;;;;;;;;;;;;;;;;;;
