Supplier;Code;Description;Q;Cost Price;Cost * Q;Sales Pirce;Sales Price * Q
B173;A6950;B173 WAVY STICK RED LEAF H193;15;0;6;8;120
B173;A6951;B173 BIG LEAVES H158;18;1;11;8;144
B174;A6956;B174 BUDDHA TORSO ANTIQUE  H120;2;60;121;275;550
B174;A6957;B174 BUDDHA SITTING MEDITATION H42;2;16;33;58;116
B174;A6958;B174 BUDDHA STANDING H65;5;28;140;185;925
I84;A6968G;I84 CUSHION 45x45x45;5;6;29;22;110
B169;A6969.1;B169 TEAK MIRROR REC.TEAK;2;36;71;235;470
B176;A7001;B176 PLACEMAT F39;14;3;42;8;112
B173;A7003B;B173 PARAVAN BAMBOO 153x3x169;5;31;154;135;675
B173;A7003N;B173 PARAVAN BAMBOO 153x3x169;-1;31;-31;135;-135
D4;A7006;D4 GLASS BOX;1;6;6;22;22
I79;A7018;I79 CHRISTMAS GEE;2;10;19;12;24
P14;A7020;P14 VASE DONATO F12x12;1;7;7;26;26
P38;A7051;P38 C VASE TSARINE;1;115;115;390;390
P38;A7053;P38 S CERAMIC CUPS BLANCHE;9;0;0;10;90
P38;A7055;P38 C DECO BALL OLAF;6;0;0;8;48
P38;A7057.2;P38 C PLATE ARAGON 32x30;9;0;0;19;171
P38;A7069DG;P38 S PLASTIC TRAY;2;0;0;25;50
P38;A7069PU;P38 S PLASTIC TRAY;2;0;0;25;50
;;;;;;;
P38;A7069TU;P38 PLASTIC TRAY;1;7;7;25;25
P38;A7069YE;P38 S PLASTIC TRAY;1;7;7;25;25
P38;A7074.2;P38 TRAY ROUND COPPER GRAPHIC LARGE;2;0;0;55;110
B169;A7094.1BR;B169 MIRROR STRIPPED FRAME 45x60;3;19;58;73;219
B169;A7094.1WN;B169 MIRROR STRIPPED FRAME 60x80;2;23;47;90;180
B169;A7095.1BR;B169 MIRROR PLAIN 65x140;8;54;432;158;1264
B169;A7095.2BR;B169 MIRROR PLAIN 80x180;1;107;107;325;325
B169;A7097.1WN;B169 MIRROR PLAIN FRAME 50x60;3;19;58;73;219
B169;A7100N;B169 TEAK TALL BOWL 28x28x20;3;11;34;52;156
B169;A7101B;B169 TEAK ROUND PLATE F40 H3;5;13;66;65;325
B169;A7101N;B169 TEAK ROUND PLATE F40 H45;7;10;68;55;385
B169;A7102.1N;B169 TEAK BOWL BLIMB F20 H15;2;6;13;34;68
B169;A7102B;B169 TEAK BOWL BLIMB F20 H15;1;8;8;42;42
B169;A7103B;B169 TEAK STICK BOWL F50 H12;1;21;21;105;105
B169;A7103N;B169 TEAK STICK BOWL F50 H12;6;20;117;95;570
;A7104;TALL DECO STAND;1;28;28;325;325
B169;A7107.1;B169 STONE PLATE 30x15x2;5;5;24;32;160
B169;A7107.2;B169 STONE PLATE 40x15x2;20;6;128;35;700
P38;A7120;P38 BOWL ARROWS F16xH8;1;6;6;24;24
;;;;;;;
P38;A7122;P38 TEACUP DOTS BLACK/GO F9.5xH8;1;5;5;18;18
P38;A7123;P38 BOWL DOTS BLACK/GOL F12xH16;4;4;15;16;64
P38;A7124;P38 PLATE OVAL DOTS BLACK/GO 21x12;2;6;12;25;50
P38;A7130.1;P38 POT STRAPES F8xH7.5;4;2;9;9;36
P38;A7132;P38 FROWER POT F20xH17;1;3;3;12;12
